orb_index = 2, gpp_a = 1.1731
orb_index = 3, gpp_a = 1.77296
orb_index = 4, gpp_a = 14.8415
orb_index = 5, gpp_a = 10.94
orb_index = 6, gpp_a = 16.6878
orb_index = 7, gpp_a = 16.5974
orb_index = 8, gpp_a = 18.492
orb_index = 9, gpp_a = 33.9965
orb_index = 10, gpp_a = 86.1052
orb_index = 11, gpp_a = 43.2796
orb_index = 12, gpp_a = 18.8325
orb_index = 13, gpp_a = 10.2296
orb_index = 14, gpp_a = 5.45276
orb_index = 15, gpp_a = 4.1091
orb_index = 16, gpp_a = 1.15365
orb_index = 17, gpp_a = 2.90765e-05
orb_index = 18, gpp_a = 2.90671e-05
orb_index = 19, gpp_a = 2.90827e-05
orb_index = 20, gpp_a = 2.91701e-05
orb_index = 21, gpp_a = 3.21172e-05
orb_index = 22, gpp_a = 3.23439e-05
orb_index = 23, gpp_a = 2.96834e-05
orb_index = 24, gpp_a = 3.11032e-05
orb_index = 25, gpp_a = 3.08142e-05
orb_index = 26, gpp_a = 3.13373e-05
orb_index = 27, gpp_a = 3.06151e-05
orb_index = 28, gpp_a = 3.06056e-05
orb_index = 29, gpp_a = 3.09614e-05
orb_index = 30, gpp_a = 2.83191e-05
orb_index = 31, gpp_a = 2.82177e-05
orb_index = 32, gpp_a = 2.82008e-05
orb_index = 33, gpp_a = 2.81867e-05
orb_index = 34, gpp_a = 2.66954e-05
orb_index = 35, gpp_a = 2.66879e-05
orb_index = 36, gpp_a = 2.66575e-05
orb_index = 37, gpp_a = 2.66179e-05
orb_index = 38, gpp_a = 2.6654e-05
orb_index = 39, gpp_a = 2.66536e-05
orb_index = 40, gpp_a = 2.66451e-05
orb_index = 41, gpp_a = 2.65799e-05
orb_index = 42, gpp_a = 2.65574e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -19.997, A_a =  285.47036361
 orb_index = 0, gpp_a = 0.852742
orb_index = 1, gpp_a = 0.882994
orb_index = 2, gpp_a = 1.12136
orb_index = 3, gpp_a = 1.6778
orb_index = 4, gpp_a = 12.8364
orb_index = 5, gpp_a = 9.626
orb_index = 6, gpp_a = 14.3371
orb_index = 7, gpp_a = 14.2665
orb_index = 8, gpp_a = 15.796
orb_index = 9, gpp_a = 28.1219
orb_index = 10, gpp_a = 82.6572
orb_index = 11, gpp_a = 52.6767
orb_index = 12, gpp_a = 22.293
orb_index = 13, gpp_a = 11.6698
orb_index = 14, gpp_a = 6.01794
orb_index = 15, gpp_a = 4.4786
orb_index = 16, gpp_a = 1.20812
orb_index = 17, gpp_a = 2.90679e-05
orb_index = 18, gpp_a = 2.90578e-05
orb_index = 19, gpp_a = 2.90696e-05
orb_index = 20, gpp_a = 2.91836e-05
orb_index = 21, gpp_a = 3.1807e-05
orb_index = 22, gpp_a = 3.19926e-05
