orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -20.987, A_a =  0.159624534238
 orb_index = 0, gpp_a = 4.31149
orb_index = 1, gpp_a = 4.00007
orb_index = 2, gpp_a = 2.61132
orb_index = 3, gpp_a = 1.59579
orb_index = 4, gpp_a = 0.588923
orb_index = 5, gpp_a = 0.63634
orb_index = 6, gpp_a = 0.574798
orb_index = 7, gpp_a = 0.577941
orb_index = 8, gpp_a = 0.565358
orb_index = 9, gpp_a = 0.507893
orb_index = 10, gpp_a = 0.421527
orb_index = 11, gpp_a = 0.368428
orb_index = 12, gpp_a = 0.328533
orb_index = 13, gpp_a = 0.297914
orb_index = 14, gpp_a = 0.262198
orb_index = 15, gpp_a = 0.245134
orb_index = 16, gpp_a = 0.164384
orb_index = 17, gpp_a = 2.91199e-05
orb_index = 18, gpp_a = 2.90175e-05
orb_index = 19, gpp_a = 2.87275e-05
orb_index = 20, gpp_a = 2.85151e-05
orb_index = 21, gpp_a = 2.83417e-05
orb_index = 22, gpp_a = 2.83181e-05
orb_index = 23, gpp_a = 2.81345e-05
orb_index = 24, gpp_a = 2.81231e-05
orb_index = 25, gpp_a = 2.81173e-05
orb_index = 26, gpp_a = 2.81025e-05
orb_index = 27, gpp_a = 2.80708e-05
orb_index = 28, gpp_a = 2.8053e-05
orb_index = 29, gpp_a = 2.80453e-05
orb_index = 30, gpp_a = 2.79435e-05
orb_index = 31, gpp_a = 2.78962e-05
orb_index = 32, gpp_a = 2.78776e-05
orb_index = 33, gpp_a = 2.77803e-05
orb_index = 34, gpp_a = 2.62982e-05
orb_index = 35, gpp_a = 2.62911e-05
orb_index = 36, gpp_a = 2.62614e-05
orb_index = 37, gpp_a = 2.62222e-05
orb_index = 38, gpp_a = 2.62582e-05
orb_index = 39, gpp_a = 2.62556e-05
orb_index = 40, gpp_a = 2.62456e-05
orb_index = 41, gpp_a = 2.61844e-05
orb_index = 42, gpp_a = 2.61604e-05
orb_index = 43, gpp_a = 0
orb_index = 44, gpp_a = 0
orb_index = 45, gpp_a = 0
orb_index = 46, gpp_a = 0
orb_index = 47, gpp_a = 0
orb_index = 48, gpp_a = 0
orb_index = 49, gpp_a = 0
orb_index = 50, gpp_a = 0
orb_index = 51, gpp_a = 0
orb_index = 52, gpp_a = 0
orb_index = 53, gpp_a = 0
orb_index = 54, gpp_a = 0
orb_index = 55, gpp_a = 0
orb_index = 56, gpp_a = 0
orb_index = 57, gpp_a = 0
orb_index = 58, gpp_a = 0
orb_index = 59, gpp_a = 0
orb_index = 60, gpp_a = 0
orb_index = 61, gpp_a = 0
orb_index = 62, gpp_a = 0
orb_index = 63, gpp_a = 0
orb_index = 64, gpp_a = 0
orb_index = 65, gpp_a = 0
orb_index = 66, gpp_a = 0
orb_index = 67, gpp_a = 0
orb_index = 68, gpp_a = 0
orb_index = 69, gpp_a = 0
orb_index = 70, gpp_a = 0
orb_index = 71, gpp_a = 0
orb_index = 72, gpp_a = 0
orb_index = 73, gpp_a = 0
orb_index = 74, gpp_a = 0
orb_index = 75, gpp_a = 0
orb_index = 76, gpp_a = 0
orb_index = 77, gpp_a = 0
orb_index = 78, gpp_a = 0
orb_index = 79, gpp_a = 0
orb_index = 80, gpp_a = 0
orb_index = 81, gpp_a = 0
orb_index = 82, gpp_a = 0
orb_index = 83, gpp_a = 0
orb_index = 84, gpp_a = 0
w = -20.141, A_a =  18.058761165
 orb_index = 0, gpp_a = 0.0130022
orb_index = 1, gpp_a = 0.0129456
orb_index = 2, gpp_a = 0.0125878
orb_index = 3, gpp_a = 0.0120921
orb_index = 4, gpp_a = 0.0107458
orb_index = 5, gpp_a = 0.0108973
orb_index = 6, gpp_a = 0.0107138
orb_index = 7, gpp_a = 0.010756
orb_index = 8, gpp_a = 0.0107214
orb_index = 9, gpp_a = 0.0105505
orb_index = 10, gpp_a = 0.0102094
orb_index = 11, gpp_a = 0.00999508
orb_index = 12, gpp_a = 0.00979441
orb_index = 13, gpp_a = 0.00965012
orb_index = 14, gpp_a = 0.009424
orb_index = 15, gpp_a = 0.00930282
orb_index = 16, gpp_a = 0.00851642
orb_index = 17, gpp_a = 2.61448e-05
orb_index = 18, gpp_a = 2.61357e-05
orb_index = 19, gpp_a = 2.61092e-05
orb_index = 20, gpp_a = 2.60687e-05
