-19.957 238.488465377	 0.45399	0.46568	0.5525	0.727298	2.21933	1.94963	2.33072	2.33044	2.43502	3.0816	5.14159	8.79066	16.2478	34.1764	85.2454	68.4762	3.86341
-19.956 235.84051294	 0.447593	0.459035	0.543922	0.714367	2.15135	1.8936	2.25767	2.25752	2.35722	2.97151	4.90832	8.28553	15.0529	31.0477	82.6413	73.8233	4.027
-19.955 231.934818688	 0.441329	0.452531	0.535542	0.701778	2.08643	1.83994	2.18797	2.18794	2.28306	2.86715	4.69028	7.82135	13.977	28.261	78.7555	78.6442	4.20101
-19.954 226.702394151	 0.435196	0.446163	0.527353	0.689518	2.02437	1.78851	2.12142	2.12151	2.21231	2.76814	4.48619	7.39394	13.006	25.7813	73.954	82.5594	4.38635
-19.953 220.104833298	 0.429189	0.439929	0.519351	0.677575	1.96502	1.73919	2.05784	2.05803	2.14478	2.67412	4.29492	6.99965	12.1274	23.5747	68.6167	85.2017	4.58398
-19.952 212.152335493	 0.423306	0.433825	0.511529	0.665939	1.90823	1.69188	1.99705	1.99734	2.08026	2.58476	4.11542	6.63524	11.3307	21.6093	63.0801	86.2917	4.79501
-19.951 202.941848392	 0.417543	0.427847	0.503882	0.6546	1.85384	1.64645	1.9389	1.93927	2.01859	2.49976	3.94678	6.29785	10.6066	19.8563	57.6057	85.7066	5.02063
-19.95 192.683863958	 0.411896	0.421991	0.496405	0.643547	1.80173	1.60282	1.88323	1.88368	1.95961	2.41885	3.78814	5.98495	9.94677	18.29	52.3744	83.5129	5.2622
-19.949 181.693429145	 0.406363	0.416254	0.489092	0.632771	1.75177	1.56089	1.82991	1.83043	1.90315	2.34177	3.63874	5.69427	9.3443	16.8877	47.4956	79.9484	5.52122
-19.948 170.345152894	 0.400941	0.410633	0.48194	0.622263	1.70385	1.52058	1.7788	1.77939	1.84908	2.26828	3.49788	5.42381	8.79298	15.6294	43.0233	75.362	5.79936
-19.947 159.012877883	 0.395626	0.405126	0.474943	0.612013	1.65786	1.48179	1.72979	1.73044	1.79726	2.19817	3.36495	5.17178	8.2874	14.4976	38.9723	70.1366	6.0985
-19.946 148.018420922	 0.390416	0.399728	0.468098	0.602015	1.61369	1.44447	1.68277	1.68348	1.74758	2.13124	3.23935	4.93657	7.82282	13.4772	35.3324	64.6251	6.42075
-19.945 137.603145438	 0.385309	0.394437	0.461399	0.592259	1.57125	1.40853	1.63763	1.63838	1.69992	2.06729	3.12057	4.71676	7.39507	12.5551	32.0786	59.1114	6.76846
-19.944 127.922743595	 0.3803	0.38925	0.454842	0.582737	1.53046	1.37391	1.59426	1.59507	1.65417	2.00615	3.00814	4.51105	7.00049	11.7198	29.1787	53.7984	7.14431
-19.943 119.057766416	 0.375389	0.384165	0.448424	0.573443	1.49122	1.34054	1.55259	1.55343	1.61023	1.94767	2.9016	4.31828	6.63582	10.9613	26.5978	48.8138	7.5513
-19.942 111.031162525	 0.370572	0.379179	0.442141	0.564369	1.45347	1.30837	1.51252	1.5134	1.56801	1.89169	2.80056	4.1374	6.2982	10.271	24.3014	44.2253	7.99284
-19.941 103.826437011	                   0.365847	0.374289	0.435989	0.555509	1.41712	1.27733	1.47397	1.47489	1.52742	1.83807	2.70466	3.96749	5.9851	9.6413	22.2567	40.0572	8.47278
-19.94 97.4030864129	 0.361211	0.369493	0.429964	0.546854	1.38212	1.24739	1.43687	1.43782	1.48837	1.78669	2.61354	3.80767	5.69425	9.06562	20.4341	36.3049	8.99551
-19.939 91.708249754	 0.356663	0.364788	0.424063	0.538401	1.34838	1.21847	1.40115	1.40212	1.4508	1.73741	2.52691	3.65718	5.42364	8.53821	18.8066	32.9467	9.56602
-19.938 86.6847805551	 0.352201	0.360173	0.418282	0.530141	1.31586	1.19055	1.36673	1.36773	1.41462	1.69013	2.44448	3.51532	5.17148	8.05402	17.3505	29.9518	10.19
-19.937 82.2764491142	 0.347821	0.355644	0.412619	0.522069	1.2845	1.16357	1.33356	1.33459	1.37977	1.64475	2.36598	3.38145	4.93616	7.60861	16.0449	27.2857	10.874
-19.936 78.4310604159	 0.343523	0.3512	0.407069	0.51418	1.25424	1.1375	1.30158	1.30262	1.34619	1.60116	2.29117	3.25498	4.71625	7.19809	14.8716	24.9134	11.6255
-19.935 75.1021625152	  0.339303	0.346839	0.401631	0.506469	1.22504	1.11229	1.27073	1.27179	1.31381	1.55926	2.21982	3.1354	4.51046	6.81901	13.8147	22.8019	12.453
