orb_index = 23, gpp_a = 6.78162e-09
orb_index = 24, gpp_a = 3.44181e-10
w = -19.738, A_a =  36.8860514106
 orb_index = 0, gpp_a = 3.12006
orb_index = 1, gpp_a = 3.55494
orb_index = 2, gpp_a = 27.7168
orb_index = 3, gpp_a = 6.81167
orb_index = 4, gpp_a = 4.71743
orb_index = 5, gpp_a = 3.59446e-05
orb_index = 6, gpp_a = 3.63854e-05
orb_index = 7, gpp_a = 7.64447e-05
orb_index = 8, gpp_a = 4.28599e-05
orb_index = 9, gpp_a = 3.93159e-05
orb_index = 10, gpp_a = 2.74265e-05
orb_index = 11, gpp_a = 2.74005e-05
orb_index = 12, gpp_a = 2.7379e-05
orb_index = 13, gpp_a = 2.73384e-05
orb_index = 14, gpp_a = 2.72142e-05
orb_index = 15, gpp_a = 2.84618e-05
orb_index = 16, gpp_a = 2.73679e-05
orb_index = 17, gpp_a = 2.81952e-05
orb_index = 18, gpp_a = 2.74911e-05
orb_index = 19, gpp_a = 2.59876e-07
orb_index = 20, gpp_a = 8.37125e-08
orb_index = 21, gpp_a = 3.86628e-06
orb_index = 22, gpp_a = 1.0391e-07
orb_index = 23, gpp_a = 9.53142e-09
orb_index = 24, gpp_a = 4.45908e-10
w = -19.734, A_a =  45.921326231
 orb_index = 0, gpp_a = 0.207079
orb_index = 1, gpp_a = 0.200122
orb_index = 2, gpp_a = 0.117586
orb_index = 3, gpp_a = 0.102113
orb_index = 4, gpp_a = 0.0968532
orb_index = 5, gpp_a = 2.91532e-05
orb_index = 6, gpp_a = 2.91436e-05
orb_index = 7, gpp_a = 2.88826e-05
orb_index = 8, gpp_a = 2.87419e-05
orb_index = 9, gpp_a = 2.87101e-05
orb_index = 10, gpp_a = 2.66923e-05
orb_index = 11, gpp_a = 2.66664e-05
orb_index = 12, gpp_a = 2.66279e-05
orb_index = 13, gpp_a = 2.6518e-05
orb_index = 14, gpp_a = 2.64537e-05
orb_index = 15, gpp_a = 2.6416e-05
orb_index = 16, gpp_a = 2.63081e-05
orb_index = 17, gpp_a = 2.62229e-05
orb_index = 18, gpp_a = 2.61851e-05
orb_index = 19, gpp_a = 4.30063e-09
orb_index = 20, gpp_a = 1.59235e-09
orb_index = 21, gpp_a = 3.69877e-08
orb_index = 22, gpp_a = -2.07677e-10
orb_index = 23, gpp_a = -1.27152e-11
orb_index = 24, gpp_a = -2.45566e-11
w = -19.992, A_a =  0.724136170872
 orb_index = 0, gpp_a = 0.209101
orb_index = 1, gpp_a = 0.202043
orb_index = 2, gpp_a = 0.118453
orb_index = 3, gpp_a = 0.102814
orb_index = 4, gpp_a = 0.097502
orb_index = 5, gpp_a = 2.916e-05
orb_index = 6, gpp_a = 2.91502e-05
orb_index = 7, gpp_a = 2.88873e-05
orb_index = 8, gpp_a = 2.87463e-05
orb_index = 9, gpp_a = 2.87144e-05
orb_index = 10, gpp_a = 2.66951e-05
orb_index = 11, gpp_a = 2.66692e-05
orb_index = 12, gpp_a = 2.66307e-05
orb_index = 13, gpp_a = 2.65207e-05
orb_index = 14, gpp_a = 2.64565e-05
orb_index = 15, gpp_a = 2.64189e-05
orb_index = 16, gpp_a = 2.6311e-05
orb_index = 17, gpp_a = 2.62257e-05
orb_index = 18, gpp_a = 2.61879e-05
orb_index = 19, gpp_a = 4.32887e-09
orb_index = 20, gpp_a = 1.60283e-09
orb_index = 21, gpp_a = 3.72536e-08
orb_index = 22, gpp_a = -1.95912e-10
orb_index = 23, gpp_a = -1.23273e-11
orb_index = 24, gpp_a = -2.44802e-11
w = -19.991, A_a =  0.730295562396
 orb_index = 0, gpp_a = 0.211152
orb_index = 1, gpp_a = 0.203992
orb_index = 2, gpp_a = 0.119329
orb_index = 3, gpp_a = 0.103523
orb_index = 4, gpp_a = 0.0981573
orb_index = 5, gpp_a = 2.91668e-05
orb_index = 6, gpp_a = 2.91569e-05
orb_index = 7, gpp_a = 2.8892e-05
orb_index = 8, gpp_a = 2.87507e-05
orb_index = 9, gpp_a = 2.87187e-05
orb_index = 10, gpp_a = 2.66979e-05
orb_index = 11, gpp_a = 2.6672e-05
orb_index = 12, gpp_a = 2.66335e-05
orb_index = 13, gpp_a = 2.65235e-05
orb_index = 14, gpp_a = 2.64592e-05
orb_index = 15, gpp_a = 2.64218e-05
orb_index = 16, gpp_a = 2.6314e-05
orb_index = 17, gpp_a = 2.62285e-05
orb_index = 18, gpp_a = 2.61906e-05
orb_index = 19, gpp_a = 4.3574e-09
orb_index = 20, gpp_a = 1.61341e-09
orb_index = 21, gpp_a = 3.75224e-08
orb_index = 22, gpp_a = -1.84023e-10
orb_index = 23, gpp_a = -1.19351e-11
orb_index = 24, gpp_a = -2.44027e-11
w = -19.99, A_a =  0.73653584186
 orb_index = 0, gpp_a = 0.213233
