orb_index = 32, gpp_a = 2.58208e-10
orb_index = 33, gpp_a = 4.02089e-11
orb_index = 34, gpp_a = 1.0982e-09
orb_index = 35, gpp_a = 7.26338e-11
orb_index = 36, gpp_a = 2.88478e-11
orb_index = 37, gpp_a = 1.5201e-12
orb_index = 38, gpp_a = 1.62449e-12
orb_index = 39, gpp_a = 1.88586e-13
w = -19.733, A_a =  0.0532784975898
 orb_index = 0, gpp_a = 0.0186062
orb_index = 1, gpp_a = 0.018391
orb_index = 2, gpp_a = 0.00545132
orb_index = 3, gpp_a = 0.0032342
orb_index = 4, gpp_a = 0.00322073
orb_index = 5, gpp_a = 0.00429326
orb_index = 6, gpp_a = 0.00436595
orb_index = 7, gpp_a = 0.00425691
orb_index = 8, gpp_a = 3.02448e-05
orb_index = 9, gpp_a = 3.02156e-05
orb_index = 10, gpp_a = 2.83545e-08
orb_index = 11, gpp_a = 2.03334e-08
orb_index = 12, gpp_a = 1.80483e-08
orb_index = 13, gpp_a = 2.27168e-08
orb_index = 14, gpp_a = 2.30709e-08
orb_index = 15, gpp_a = 2.24419e-08
orb_index = 16, gpp_a = 5.69238e-12
orb_index = 17, gpp_a = 2.11579e-13
orb_index = 18, gpp_a = 5.37189e-14
orb_index = 19, gpp_a = 2.95392e-10
orb_index = 20, gpp_a = 8.07993e-11
orb_index = 21, gpp_a = 8.67302e-11
orb_index = 22, gpp_a = 2.44173e-11
orb_index = 23, gpp_a = 1.67474e-11
orb_index = 24, gpp_a = 3.7334e-09
orb_index = 25, gpp_a = 2.07668e-09
orb_index = 26, gpp_a = 5.32306e-09
orb_index = 27, gpp_a = 1.95034e-09
orb_index = 28, gpp_a = 1.68775e-09
orb_index = 29, gpp_a = 1.26447e-09
orb_index = 30, gpp_a = 1.23152e-09
orb_index = 31, gpp_a = 4.46868e-10
orb_index = 32, gpp_a = 2.88187e-10
orb_index = 33, gpp_a = 4.43091e-11
orb_index = 34, gpp_a = 1.20938e-09
orb_index = 35, gpp_a = 7.97652e-11
orb_index = 36, gpp_a = 3.1755e-11
orb_index = 37, gpp_a = 1.68543e-12
orb_index = 38, gpp_a = 1.7747e-12
orb_index = 39, gpp_a = 2.21705e-13
w = -19.666, A_a =  0.0618802115645
 orb_index = 0, gpp_a = 0.0130657
orb_index = 1, gpp_a = 0.0129382
orb_index = 2, gpp_a = 0.00446513
orb_index = 3, gpp_a = 0.00276665
orb_index = 4, gpp_a = 0.00275538
orb_index = 5, gpp_a = 0.00359034
orb_index = 6, gpp_a = 0.00364539
orb_index = 7, gpp_a = 0.00356202
orb_index = 8, gpp_a = 2.96517e-05
orb_index = 9, gpp_a = 2.96267e-05
orb_index = 10, gpp_a = 2.32172e-08
orb_index = 11, gpp_a = 1.67812e-08
orb_index = 12, gpp_a = 1.53434e-08
orb_index = 13, gpp_a = 1.89942e-08
orb_index = 14, gpp_a = 1.92685e-08
orb_index = 15, gpp_a = 1.87941e-08
orb_index = 16, gpp_a = 4.32677e-12
orb_index = 17, gpp_a = 1.61628e-13
orb_index = 18, gpp_a = 4.3827e-14
